epoch,loss,lr,mean_io_u,precision,recall,val_loss,val_mean_io_u,val_precision,val_recall
0,0.6864180564880371,1e-04,0.49852803349494934,0.004509821068495512,0.5640096664428711,0.7427266836166382,0.4982370138168335,0.003525953972712159,1.0
1,0.2899947762489319,1e-04,0.49852803349494934,0.024107132107019424,0.07117217034101486,0.8033260703086853,0.4982370138168335,0.0037791288923472166,1.0
2,0.20676672458648682,1e-04,0.49852803349494934,0.06325245648622513,0.0347222238779068,0.6230746507644653,0.4982370138168335,0.0,0.0
3,0.17533378303050995,1e-04,0.49852803349494934,0.09294039011001587,0.021001074463129044,0.5306960940361023,0.4982370138168335,0.0,0.0
4,0.1621554046869278,1e-04,0.49852803349494934,0.0782608687877655,0.011775362305343151,0.44533640146255493,0.4982370138168335,0.0,0.0
5,0.14949911832809448,1e-04,0.49852803349494934,0.019431987777352333,0.0013083736412227154,0.3711954355239868,0.4982370138168335,0.0,0.0
6,0.14087045192718506,1e-04,0.49852803349494934,0.024116847664117813,0.0011909554013982415,0.30365800857543945,0.4982370138168335,0.0,0.0
7,0.13279220461845398,1e-04,0.49852803349494934,0.008053691126406193,0.0003019323630724102,0.2493731677532196,0.4982370138168335,0.0,0.0
8,0.12734858691692352,1e-04,0.49852803349494934,0.014101778157055378,0.00038580247201025486,0.2116439789533615,0.4982370138168335,0.0,0.0
9,0.12089641392230988,1e-04,0.49852803349494934,0.013333333656191826,0.0002012882468989119,0.1836434304714203,0.4982370138168335,0.0,0.0
10,0.1157059371471405,1e-04,0.49852803349494934,0.01841903291642666,0.0004025764937978238,0.16183795034885406,0.4982370138168335,0.0,0.0
11,0.11072889715433121,1e-04,0.49852803349494934,0.021348314359784126,0.00031870638485997915,0.1477506160736084,0.4982370138168335,0.0,0.0
12,0.107520192861557,1e-04,0.49852803349494934,0.01785714365541935,0.00026838431949727237,0.1371246874332428,0.4982370138168335,0.0,0.0
13,0.10317984223365784,1e-04,0.49852803349494934,0.023391813039779663,0.00013419215974863619,0.12930138409137726,0.4982370138168335,0.0,0.0
14,0.09896853566169739,1e-04,0.49852803349494934,0.09878213703632355,0.0012245035031810403,0.12130971997976303,0.4982370138168335,0.0,0.0
15,0.09747155755758286,1e-04,0.49852803349494934,0.02631578966975212,0.0002851583412848413,0.1202867329120636,0.4982370138168335,0.0,0.0
16,0.09216228127479553,1e-04,0.49852803349494934,0.061302680522203445,0.00026838431949727237,0.11308365315198898,0.4982370138168335,0.0,0.0
17,0.08880724757909775,1e-04,0.49852803349494934,0.06614785641431808,0.0005703166825696826,0.1059054508805275,0.4982370138168335,0.0,0.0
18,0.08607213199138641,1e-04,0.49852803349494934,0.05847953259944916,0.00016774020332377404,0.10140610486268997,0.4982370138168335,0.0,0.0
19,0.08333279192447662,1e-04,0.49852803349494934,0.09473684430122375,0.0003019323630724102,0.09756329655647278,0.4982370138168335,0.0,0.0
20,0.08043979853391647,1e-04,0.49852803349494934,0.05833333358168602,0.00011741814523702487,0.09318817406892776,0.4982370138168335,0.0,0.0
21,0.07785766571760178,1e-04,0.49852803349494934,0.10054347664117813,0.0006206387770362198,0.08685029298067093,0.4982370138168335,0.0,0.0
22,0.0757342055439949,1e-04,0.49852803349494934,0.03921568766236305,0.0003019323630724102,0.08462458103895187,0.4982370138168335,0.0,0.0
23,0.07298643887042999,1e-04,0.49852803349494934,0.11764705926179886,0.00036902845022268593,0.07971927523612976,0.4982370138168335,1.0,5.548158151214011e-05
24,0.07055117934942245,1e-04,0.49852803349494934,0.39344263076782227,0.0020128823816776276,0.07623203843832016,0.4982370138168335,0.7352941036224365,0.0013870395487174392
25,0.06855987012386322,1e-04,0.49852803349494934,0.7731092572212219,0.007716049440205097,0.07338567078113556,0.4982370138168335,0.9726962447166443,0.01581224985420704
26,0.06651689112186432,1e-04,0.49852803349494934,0.7877827882766724,0.029203569516539574,0.0689338892698288,0.4982370138168335,0.9293680191040039,0.05548157915472984
27,0.06455525010824203,1e-04,0.49852803349494934,0.6917867660522461,0.08053207397460938,0.06611084938049316,0.4982370138168335,0.9290407299995422,0.03922547772526741
28,0.062078364193439484,1e-04,0.49852803349494934,0.7819334268569946,0.16552603244781494,0.06477627158164978,0.4982370138168335,0.9652568101882935,0.03545273095369339
29,0.06060262769460678,1e-04,0.49852803349494934,0.6696930527687073,0.15589775145053864,0.06153328716754913,0.4982370138168335,0.9640804529190063,0.26059699058532715
30,0.05848964676260948,1e-04,0.49852803349494934,0.8213979601860046,0.19278381764888763,0.057868920266628265,0.4982370138168335,0.8559767603874207,0.4247114956378937
31,0.05664808303117752,1e-04,0.49852803349494934,0.8038939833641052,0.297118216753006,0.05798795446753502,0.4982370138168335,0.35742971301078796,0.02468930371105671
32,0.05505726486444473,1e-04,0.49852803349494934,0.789837658405304,0.39658817648887634,0.056166283786296844,0.4982370138168335,0.6858943700790405,0.47697514295578003
33,0.05244630202651024,1e-04,0.49852803349494934,0.9008639454841614,0.5491982102394104,0.05525033175945282,0.4982370138168335,0.9742251038551331,0.16566799581050873
34,0.05114031583070755,1e-04,0.49852803349494934,0.8560889363288879,0.5644793510437012,0.053183432668447495,0.4982370138168335,0.5560067892074585,0.182312473654747
35,0.04935317113995552,1e-04,0.49852803349494934,0.8182893395423889,0.6149523854255676,0.0522160641849041,0.4982370138168335,0.5660741925239563,0.7633710503578186
36,0.047678496688604355,1e-04,0.49852803349494934,0.8040308356285095,0.7501509785652161,0.051765330135822296,0.4982370138168335,0.684303343296051,0.021526852622628212
37,0.04650666564702988,1e-04,0.49852803349494934,0.8127653002738953,0.677754282951355,0.046472568064928055,0.4982370138168335,0.6954489350318909,0.8418775200843811
38,0.044818297028541565,1e-04,0.49852803349494934,0.8251500725746155,0.7817028760910034,0.04569734260439873,0.4982370138168335,0.7889541983604431,0.6031402349472046
39,0.043921492993831635,1e-04,0.49852803349494934,0.7896074056625366,0.7455548644065857,0.04486837238073349,0.4982370138168335,0.6983120441436768,0.8492565751075745
40,0.041870035231113434,1e-04,0.49852803349494934,0.8571057915687561,0.8309682011604309,0.041924696415662766,0.4982370138168335,0.6847442388534546,0.9477918148040771
41,0.0476667657494545,1e-04,0.49852803349494934,0.8051436543464661,0.6684950590133667,2.3652074337005615,0.4982337951660156,0.0,0.0
42,0.050537802278995514,1e-04,0.49852803349494934,0.35586050152778625,0.06350643932819366,0.07128788530826569,0.4982370138168335,0.04419657960534096,0.02923879213631153
43,0.04490046948194504,1e-04,0.49852803349494934,0.7736979126930237,0.1343095749616623,0.04613270238041878,0.4982370138168335,0.017467249184846878,0.00022192632604856044
44,0.04337167739868164,1e-04,0.49852803349494934,0.4643681049346924,0.12154455482959747,0.050256822258234024,0.4982370138168335,0.140128955245018,0.3484798073768616
45,0.04094204306602478,1e-04,0.49852803349494934,0.7336133122444153,0.26076892018318176,0.05419439077377319,0.4982370138168335,0.17948806285858154,0.5823901295661926
46,0.03994899243116379,1e-05,0.49852803349494934,0.7600868344306946,0.2935621440410614,0.04306754469871521,0.4982370138168335,0.4188585877418518,0.5256879925727844
47,0.03893738612532616,1e-05,0.49852803349494934,0.816127359867096,0.3731548488140106,0.042541973292827606,0.4982370138168335,0.44693347811698914,0.49811363220214844
48,0.03829577937722206,1e-05,0.49852803349494934,0.8226686716079712,0.4753086566925049,0.04212310537695885,0.4982370138168335,0.4844885766506195,0.45489346981048584
49,0.03775443509221077,1e-05,0.49852803349494934,0.8411530256271362,0.5139392018318176,0.04097931459546089,0.4982370138168335,0.5581497550010681,0.42177096009254456
50,0.03780651092529297,1e-05,0.49852803349494934,0.8343531489372253,0.48260533809661865,0.040329769253730774,0.4982370138168335,0.5941697359085083,0.43197959661483765
51,0.037251949310302734,1e-05,0.49852803349494934,0.8501491546630859,0.5546162128448486,0.03989866375923157,0.4982370138168335,0.5613436698913574,0.474700391292572
52,0.03692943975329399,1e-05,0.49852803349494934,0.8036473989486694,0.6209071278572083,0.03946099430322647,0.4982370138168335,0.6285434365272522,0.46254992485046387
53,0.036754533648490906,1e-05,0.49852803349494934,0.8625268936157227,0.5980944633483887,0.038842130452394485,0.4982370138168335,0.619075357913971,0.5304594039916992
54,0.03650907799601555,1e-05,0.49852803349494934,0.8265362977981567,0.6438875198364258,0.039173781871795654,0.4982370138168335,0.5574402809143066,0.5451620221138
55,0.03628268092870712,1e-05,0.49852803349494934,0.8748568892478943,0.6280696392059326,0.03888322785496712,0.4982370138168335,0.5525527000427246,0.5932645201683044
56,0.03604299947619438,1e-05,0.49852803349494934,0.8322207927703857,0.6964070200920105,0.03834410384297371,0.4982370138168335,0.5832896828651428,0.5562028288841248
57,0.03581737354397774,1e-05,0.49852803349494934,0.8555883765220642,0.6805555820465088,0.03776010498404503,0.4982370138168335,0.6551766395568848,0.5968708395957947
58,0.035714201629161835,1e-05,0.49852803349494934,0.8369156718254089,0.717139720916748,0.03756188601255417,0.4982370138168335,0.6088449358940125,0.6492454409599304
59,0.03534913435578346,1e-05,0.49852803349494934,0.8777956366539001,0.7149758338928223,0.0370471365749836,0.4982370138168335,0.7920989394187927,0.5295162200927734
60,0.035147782415151596,1e-05,0.49852803349494934,0.8775553703308105,0.7567766904830933,0.03734787181019783,0.4982370138168335,0.6421146988868713,0.5963715314865112
61,0.03498002886772156,1e-05,0.49852803349494934,0.8482358455657959,0.7843364477157593,0.037322256714105606,0.4982370138168335,0.5931177139282227,0.700954258441925
62,0.03454035520553589,1e-05,0.49852803349494934,0.8516296744346619,0.8121309876441956,0.03564473241567612,0.4982370138168335,0.7842980027198792,0.7044495940208435
63,0.034913018345832825,1e-05,0.49852803349494934,0.8432462215423584,0.7379394769668579,0.035776536911726,0.4982370138168335,0.7708885669708252,0.6132379174232483
64,0.03433820977807045,1e-05,0.49852803349494934,0.8607476949691772,0.8044820427894592,0.036053866147994995,0.4982370138168335,0.649978518486023,0.7548823952674866
65,0.03454293683171272,1e-05,0.49852803349494934,0.8474598526954651,0.7619263529777527,0.03630172088742256,0.4982370138168335,0.6554136872291565,0.7119951248168945
66,0.03387399762868881,1e-05,0.49852803349494934,0.901012659072876,0.8163915872573853,0.03823115676641464,0.4982370138168335,0.48932161927223206,0.950843334197998
67,0.03394352272152901,1e-05,0.49852803349494934,0.8433234691619873,0.8281165957450867,0.03651982918381691,0.4982370138168335,0.5557971000671387,0.9502884745597839
68,0.03368736058473587,1e-06,0.49852803349494934,0.8551567196846008,0.8439680337905884,0.03603675588965416,0.4982370138168335,0.5945414900779724,0.9233799576759338
69,0.033492106944322586,1e-06,0.49852803349494934,0.8720496892929077,0.8670323491096497,0.035551127046346664,0.4982370138168335,0.6315708160400391,0.9065690040588379
70,0.03355587273836136,1e-06,0.49852803349494934,0.8858089447021484,0.8431797027587891,0.03552984073758125,0.4982370138168335,0.6329979300498962,0.9040168523788452
71,0.03353821858763695,1e-06,0.49852803349494934,0.8768371939659119,0.8485977053642273,0.03550736606121063,0.4982370138168335,0.6387171149253845,0.8938637375831604
72,0.033387478440999985,1e-06,0.49852803349494934,0.8714854717254639,0.8661936521530151,0.03529483452439308,0.4982370138168335,0.6586197018623352,0.8900355100631714
73,0.03359666094183922,1e-06,0.49852803349494934,0.8837798833847046,0.8305153250694275,0.0355052649974823,0.4982370138168335,0.6430081725120544,0.894196629524231
74,0.033327311277389526,1e-06,0.49852803349494934,0.8839108943939209,0.8621007800102234,0.035587552934885025,0.4982370138168335,0.6287550926208496,0.9115623831748962
75,0.03340531885623932,1e-06,0.49852803349494934,0.882446825504303,0.8626710772514343,0.03536905348300934,0.4982370138168335,0.6483873724937439,0.8967487812042236
76,0.03384577855467796,1e-06,0.49852803349494934,0.8835671544075012,0.7732990980148315,0.035960081964731216,0.4982370138168335,0.601533830165863,0.9182201623916626
77,0.0333765409886837,1e-06,0.49852803349494934,0.8672275543212891,0.8714606761932373,0.03559945896267891,0.4982370138168335,0.6253994703292847,0.9120061993598938
78,0.033392950892448425,1e-07,0.49852803349494934,0.8635643124580383,0.8684749007225037,0.03558316081762314,0.4982370138168335,0.6275753974914551,0.9108965992927551
79,0.03336581587791443,1e-07,0.49852803349494934,0.8737246990203857,0.8805689811706543,0.03555290400981903,0.4982370138168335,0.6331766843795776,0.9118952751159668
80,0.033435989171266556,1e-07,0.49852803349494934,0.862687349319458,0.8650026917457581,0.03552098572254181,0.4982370138168335,0.6361600160598755,0.9140035510063171
81,0.033479854464530945,1e-07,0.49852803349494934,0.8689303994178772,0.8494867086410522,0.03550798445940018,0.4982370138168335,0.6370298862457275,0.9115068912506104
82,0.03350056707859039,1e-07,0.49852803349494934,0.8712583184242249,0.8387848734855652,0.035531751811504364,0.4982370138168335,0.6358672380447388,0.9110075235366821
